roomProperties posGlobal:(350.0, 266.0);designerFlag:3
CameraBounds myRect:(x:-26.00, y:-19.00, width:52.00, height:38.00)
DamageableGround myRect:(x:16.00, y:-5.50, width:6.00, height:1.00);doRegen:False;mayPlayerEat:False;dieFromPlayerLeave:True
DamageableGround myRect:(x:16.00, y:1.50, width:6.00, height:1.00);doRegen:False;mayPlayerEat:False;dieFromPlayerLeave:True
DamageableGround myRect:(x:9.00, y:-10.50, width:6.00, height:1.00);doRegen:True;mayPlayerEat:False;dieFromPlayerLeave:True
DamageableGround myRect:(x:-1.00, y:-10.50, width:6.00, height:1.00);doRegen:False;mayPlayerEat:False;dieFromPlayerLeave:True
Ground myRect:(x:-1.50, y:15.50, width:3.00, height:9.00)
Ground myRect:(x:-15.50, y:-15.00, width:21.00, height:10.00);isPlayerRespawn:True
Ground myRect:(x:23.00, y:4.50, width:6.00, height:23.00)
Ground myRect:(x:-23.00, y:7.00, width:6.00, height:18.00)
Ground myRect:(x:5.00, y:-16.50, width:42.00, height:7.00)
Ground myRect:(x:-1.00, y:4.00, width:16.00, height:6.00);isPlayerRespawn:True
Ground myRect:(x:-20.50, y:10.50, width:11.00, height:19.00)
Ground myRect:(x:5.00, y:17.00, width:42.00, height:6.00)
PlayerStart pos:(-7.3, -8.7)
Spikes myRect:(x:19.50, y:4.00, width:22.00, height:1.00);rotation:90
Spikes myRect:(x:7.00, y:-12.50, width:26.00, height:1.00);rotation:0
Spikes myRect:(x:7.50, y:4.00, width:6.00, height:1.00);rotation:270
Ground myRect:(x:23.00, y:-13.50, width:6.00, height:5.00)
Spikes myRect:(x:23.00, y:-10.50, width:6.00, height:1.00);rotation:0
Spikes myRect:(x:23.00, y:-7.50, width:6.00, height:1.00);rotation:180
Snack pos:(-1.5, 9.0);playerType:Plunga
