levelProperties posGlobal:(-496.0, 188.0);designerFlag:3
CameraBounds myRect:(x:-26.00, y:-19.00, width:52.00, height:38.00)
DamageableGround myRect:(x:-14.00, y:-14.50, width:4.00, height:1.00);doRegen:False;dieFromPlayerLeave:True
Ground myRect:(x:-5.00, y:-12.50, width:8.00, height:7.00)
Ground myRect:(x:-4.00, y:-6.50, width:6.00, height:5.00)
Ground myRect:(x:0.50, y:-5.50, width:7.00, height:23.00)
Ground myRect:(x:-3.00, y:-1.50, width:4.00, height:5.00)
Ground myRect:(x:-22.00, y:-17.50, width:8.00, height:5.00)
Ground myRect:(x:-10.50, y:11.50, width:9.00, height:11.00)
Ground myRect:(x:19.00, y:2.50, width:14.00, height:29.00)
Ground myRect:(x:-0.50, y:-18.00, width:51.00, height:4.00)
Ground myRect:(x:3.00, y:-2.00, width:4.00, height:20.00)
Ground myRect:(x:-23.50, y:3.00, width:5.00, height:26.00)
Ground myRect:(x:0.00, y:18.00, width:52.00, height:4.00)
Ground myRect:(x:-10.50, y:3.50, width:5.00, height:5.00)
Ground myRect:(x:-14.00, y:-0.50, width:4.00, height:17.00)
Ground myRect:(x:-11.00, y:-1.50, width:2.00, height:5.00)
Ground myRect:(x:-19.00, y:4.00, width:8.00, height:26.00)
PlayerStart pos:(3.2, 9.9)
Spikes myRect:(x:-8.00, y:-8.50, width:2.00, height:1.00);rotation:0
Spikes myRect:(x:-6.00, y:-3.50, width:2.00, height:1.00);rotation:0
Spikes myRect:(x:-0.50, y:6.50, width:5.00, height:1.00);rotation:0
Spikes myRect:(x:-4.00, y:1.50, width:2.00, height:1.00);rotation:0
Spikes myRect:(x:-9.50, y:-15.50, width:17.00, height:1.00);rotation:0
