levelProperties posGlobal:(800.0, 400.0);designerFlag:3
CameraBounds myRect:(x:-25.00, y:-19.00, width:51.00, height:38.00)
DamageableGround myRect:(x:-1.50, y:-16.50, width:11.00, height:1.00);doRegen:False;canEatGems:False;dieFromBounce:True
Ground myRect:(x:-16.50, y:4.50, width:13.00, height:21.00)
Ground myRect:(x:-16.00, y:-9.00, width:14.00, height:6.00)
Ground myRect:(x:0.50, y:-19.00, width:53.00, height:2.00)
Ground myRect:(x:-24.50, y:5.00, width:3.00, height:30.00)
Ground myRect:(x:0.50, y:16.50, width:53.00, height:7.00)
Ground myRect:(x:-7.00, y:9.50, width:8.00, height:7.00)
Ground myRect:(x:17.00, y:-6.50, width:20.00, height:25.00)
Ground myRect:(x:6.50, y:2.00, width:1.00, height:8.00)
Ground myRect:(x:-17.50, y:-18.00, width:17.00, height:4.00)
Platform myRect:(x:3.50, y:5.50, width:5.00, height:1.00)
Platform myRect:(x:-6.00, y:-6.50, width:6.00, height:1.00)
PlayerStart pos:(-5.8, -14.2)
Spikes myRect:(x:-7.00, y:5.50, width:8.00, height:1.00);rotation:180
Spikes myRect:(x:-9.50, y:6.00, width:8.00, height:1.00);rotation:270
Spikes myRect:(x:-2.50, y:10.00, width:8.00, height:1.00);rotation:270
Spikes myRect:(x:6.50, y:-10.50, width:17.00, height:1.00);rotation:90
Spikes myRect:(x:2.00, y:-17.50, width:22.00, height:1.00);rotation:0

