roomProperties posGlobal:(1014.0, 962.0);designerFlag:2
CameraBounds myRect:(x:-26.00, y:-19.00, width:52.00, height:38.00)
PlayerStart pos:(-19.9, 4.0)
Ground myRect:(x:-21.00, y:-8.00, width:10.00, height:22.00);isPlayerRespawn:True
Ground myRect:(x:0.00, y:16.00, width:52.00, height:8.00)
Ground myRect:(x:7.50, y:-13.00, width:31.00, height:2.00);mayPlayerEat:False;isBouncy:True
Spikes myRect:(x:-18.50, y:12.00, width:4.00, height:1.00);rotation:270
Ground myRect:(x:19.00, y:-9.00, width:14.00, height:22.00);isPlayerRespawn:True
Ground myRect:(x:0.00, y:-17.00, width:52.00, height:6.00)
Ground myRect:(x:-22.50, y:13.00, width:7.00, height:6.00)
Spikes myRect:(x:-15.50, y:-6.50, width:17.00, height:1.00);rotation:270
Spikes myRect:(x:17.00, y:5.50, width:4.00, height:1.00);rotation:0
Spikes myRect:(x:-13.00, y:-12.50, width:10.00, height:1.00);rotation:0
Ground myRect:(x:-13.00, y:-14.00, width:10.00, height:2.00)
Ground myRect:(x:16.00, y:-13.00, width:4.00, height:2.00)
Ground myRect:(x:0.00, y:-7.00, width:12.00, height:2.00);mayPlayerEat:False;isBouncy:True
Ground myRect:(x:-1.00, y:6.00, width:14.00, height:24.00)
Ground myRect:(x:-7.00, y:-6.00, width:2.00, height:2.00)
Spikes myRect:(x:-8.50, y:-2.50, width:9.00, height:1.00);rotation:90
Spikes myRect:(x:-7.00, y:-7.50, width:2.00, height:1.00);rotation:180
Ground myRect:(x:15.50, y:12.50, width:21.00, height:5.00)
Spikes myRect:(x:11.50, y:-7.50, width:9.00, height:1.00);rotation:90
Platform myRect:(x:13.00, y:1.50, width:6.00, height:1.00)
