levelProperties posGlobal:(104.0, -44.0);designerFlag:4
CameraBounds myRect:(x:-25.00, y:-19.00, width:50.00, height:38.00)
Ground myRect:(x:-25.00, y:-13.50, width:2.00, height:5.00);colorType:0;canBounce:True;doRechargePlayer:True
Ground myRect:(x:-4.50, y:19.00, width:43.00, height:2.00);colorType:0;canBounce:True;doRechargePlayer:True
Ground myRect:(x:-22.00, y:4.00, width:8.00, height:32.00);colorType:0;canBounce:True;doRechargePlayer:True
Ground myRect:(x:6.50, y:-15.00, width:31.00, height:2.00);colorType:0;canBounce:True;doRechargePlayer:True
Ground myRect:(x:21.50, y:-4.00, width:9.00, height:24.00);colorType:0;canBounce:True;doRechargePlayer:True
Ground myRect:(x:-7.50, y:-4.00, width:5.00, height:24.00);colorType:0;canBounce:True;doRechargePlayer:True
Ground myRect:(x:0.50, y:-18.00, width:53.00, height:4.00);colorType:0;canBounce:True;doRechargePlayer:True
Ground myRect:(x:6.00, y:12.00, width:2.00, height:16.00);colorType:0;canBounce:True;doRechargePlayer:True
Ground myRect:(x:24.00, y:14.00, width:4.00, height:12.00);colorType:0;canBounce:True;doRechargePlayer:True
Ground myRect:(x:16.00, y:17.00, width:2.00, height:6.00);colorType:0;canBounce:True;doRechargePlayer:True
Lift myRect:(x:-14.00, y:-6.00, width:4.00, height:12.00);rotation:0;strength:0.08
Lift myRect:(x:6.00, y:-3.00, width:16.00, height:12.00);rotation:0;strength:0.08
Platform myRect:(x:-12.50, y:7.50, width:5.00, height:1.00)
Platform myRect:(x:16.00, y:7.50, width:2.00, height:1.00)
PlayerStart pos:(-17.9, -14.4)
Spikes myRect:(x:6.00, y:3.50, width:2.00, height:1.00);rotation:180
Spikes myRect:(x:-10.50, y:-6.00, width:8.00, height:1.00);rotation:90
Spikes myRect:(x:6.00, y:-13.50, width:24.00, height:1.00);rotation:0
Spikes myRect:(x:7.50, y:10.50, width:13.00, height:1.00);rotation:270
Spikes myRect:(x:-17.50, y:-6.00, width:8.00, height:1.00);rotation:270
Spikes myRect:(x:16.50, y:-6.00, width:18.00, height:1.00);rotation:90
Spikes myRect:(x:4.50, y:10.50, width:13.00, height:1.00);rotation:90
Spikes myRect:(x:-4.50, y:-6.00, width:18.00, height:1.00);rotation:270
