roomProperties posGlobal:(158.0, 752.0);designerFlag:4
CameraBounds myRect:(x:-26.00, y:-19.00, width:52.00, height:38.00)
Ground myRect:(x:-4.00, y:-1.00, width:8.00, height:2.00);doRechargePlayer:False
Ground myRect:(x:-4.00, y:-5.00, width:8.00, height:6.00)
Ground myRect:(x:-1.00, y:16.00, width:2.00, height:8.00)
Ground myRect:(x:-15.50, y:-1.00, width:5.00, height:2.00);doRechargePlayer:False
Ground myRect:(x:0.00, y:-17.50, width:52.00, height:5.00)
Ground myRect:(x:-24.00, y:6.00, width:4.00, height:28.00)
Ground myRect:(x:-15.50, y:-5.00, width:5.00, height:6.00)
Ground myRect:(x:4.00, y:-4.50, width:8.00, height:23.00)
PlayerStart pos:(-22.2, -12.7)
ToggleGround myRect:(x:-20.00, y:-1.00, width:4.00, height:2.00);startsOn:True
ToggleGround myRect:(x:-1.00, y:6.00, width:2.00, height:12.00);startsOn:True
