levelProperties posGlobal:(-176.0, -264.0);designerFlag:4
CameraBounds myRect:(x:-26.00, y:-19.00, width:52.00, height:38.00)
Ground myRect:(x:13.00, y:-8.50, width:16.00, height:13.00);colorType:0
Ground myRect:(x:-10.50, y:-5.00, width:5.00, height:6.00);colorType:0
Ground myRect:(x:-21.50, y:4.50, width:9.00, height:25.00);colorType:0
Ground myRect:(x:0.00, y:-17.50, width:52.00, height:5.00);colorType:0
Ground myRect:(x:19.50, y:-5.00, width:13.00, height:24.00);colorType:0
Ground myRect:(x:0.00, y:18.00, width:52.00, height:4.00);colorType:0
Ground myRect:(x:-10.50, y:-1.00, width:5.00, height:2.00);colorType:0;doRechargePlayer:False
Ground myRect:(x:-6.00, y:16.50, width:22.00, height:7.00);colorType:0
Ground myRect:(x:1.00, y:-5.00, width:8.00, height:6.00);colorType:0
Ground myRect:(x:1.00, y:-1.00, width:8.00, height:2.00);colorType:0;doRechargePlayer:False
PlayerStart pos:(-6.1, -13.9)
Spikes myRect:(x:13.00, y:-1.50, width:16.00, height:1.00);rotation:0
ToggleGround myRect:(x:-15.00, y:-1.00, width:4.00, height:2.00);startsOn:True
ToggleGround myRect:(x:9.00, y:6.00, width:8.00, height:2.00);startsOn:False
