roomProperties posGlobal:(548.0, -348.0);designerFlag:4
CameraBounds myRect:(x:-26.00, y:-19.00, width:52.00, height:38.00)
DispGround myRect:(x:-7.00, y:-9.00, width:2.00, height:8.00);doRegen:True;dieFromPlayerLeave:True
Ground myRect:(x:6.50, y:11.50, width:3.00, height:7.00)
Ground myRect:(x:7.50, y:18.50, width:3.00, height:3.00)
Ground myRect:(x:-24.00, y:-10.50, width:4.00, height:19.00)
Ground myRect:(x:-12.50, y:-16.50, width:9.00, height:7.00)
Ground myRect:(x:-9.50, y:17.50, width:33.00, height:5.00)
Ground myRect:(x:20.50, y:2.00, width:13.00, height:36.00)
Ground myRect:(x:6.50, y:-17.00, width:39.00, height:6.00)
Ground myRect:(x:-9.00, y:5.50, width:34.00, height:19.00)
Platform myRect:(x:11.00, y:14.50, width:6.00, height:1.00)
Platform myRect:(x:-19.50, y:-13.50, width:5.00, height:1.00)
PlayerStart pos:(12.5, 16.0)
Spikes myRect:(x:2.50, y:-13.50, width:25.00, height:1.00);rotation:0
Spikes myRect:(x:8.50, y:1.50, width:11.00, height:1.00);rotation:270
Spikes myRect:(x:0.00, y:-4.50, width:16.00, height:1.00);rotation:180
